Accession,Origin,Group,Starch,Protein,Oil,Fib,Ash,Density
PI601361,"US, Indiana",non-stiff stalk,66.53,9.38,3.19,1.21,1.05,1.32
PI601403,"US, Iowa",non-stiff stalk,57.78,13.76,3.34,1.44,1.02,1.29
PI601405,"US, Iowa",non-stiff stalk,63.39,11.38,3.8,1.18,1.24,1.32
PI601438,"US, Iowa",non-stiff stalk,63.22,11.36,3.13,1.4,1.14,1.3
PI601440,"US, Illinois",non-stiff stalk,63.28,11.32,3.58,1.12,1.08,1.32
PI601457,"US, Wisconsin",non-stiff stalk,63.55,13.44,2.39,1.36,1.15,1.3
PI601459,"US, Minnesota",non-stiff stalk,63.52,12.16,3.22,1.27,1.2,1.31
PI601466,"US, Iowa",non-stiff stalk,61.65,13.19,3.05,1.13,1.14,1.32
PI601470,"US, Illinois",non-stiff stalk,67.82,10.49,1.76,1.36,1.09,1.32
PI601494,"US, Iowa",non-stiff stalk,65.19,11.16,2.52,1.47,1.1,1.3
PI601495,"US, Iowa",non-stiff stalk,63.8,12.02,3.31,1.59,1.09,1.28
PI601496,"US, Iowa",non-stiff stalk,62.08,12.58,2.72,1.21,1.07,1.32
PI601497,"US, Iowa",non-stiff stalk,65.01,11.34,3.17,1.16,1.04,1.32
PI601499,"US, Iowa",non-stiff stalk,66.45,10.55,1.93,1.39,1.14,1.32
PI601500,"US, Iowa",non-stiff stalk,64.86,9.87,4.02,1.69,1.2,1.27
PI601501,"US, Iowa",non-stiff stalk,65.52,10.48,2.32,1.12,1.05,1.33
PI601560,"US, Illinois",non-stiff stalk,65.98,12.36,1.97,0.86,1.12,1.35
PI601561,"US, Georgia",non-stiff stalk,67.87,9.08,2.21,1.25,0.94,1.31
PI601562,"US, Iowa",non-stiff stalk,63.96,10.64,2.96,1.87,1.06,1.26
PI601566,"US, Illinois",non-stiff stalk,62.2,12.82,2.87,1.53,1.15,1.29
PI601567,"US, Iowa",non-stiff stalk,61.52,12.75,2.4,1.48,1.1,1.3
PI601568,"US, Nebraska",non-stiff stalk,62.56,11.86,3.55,1.55,1.03,1.28
PI601570,"US, Iowa",non-stiff stalk,64.47,10.55,3.15,1.58,1.26,1.29
PI601574,"US, Iowa",non-stiff stalk,64.14,10.02,3.88,1.19,1.1,1.31
PI601576,"US, Tennessee",non-stiff stalk,65.31,9.94,2.61,1.63,1.12,1.28
PI601685,"US, Iowa",non-stiff stalk,61.09,12.71,4.34,1.72,1.18,1.26
PI601686,"US, Iowa",non-stiff stalk,64.72,10.78,4.41,1.5,1.17,1.28
PI601689,"US, Iowa",non-stiff stalk,58.73,14.13,3.16,1.01,1.36,1.31
PI601726,"France, Nouvelle-Aquitaine",non-stiff stalk,64.18,11.16,2.66,1.64,1.23,1.29
PI601727,"France, Nouvelle-Aquitaine",non-stiff stalk,63.13,11.74,3.48,1.59,1.24,1.28
PI601728,"France, Nouvelle-Aquitaine",non-stiff stalk,66.24,10.73,2.5,1.35,1.03,1.31
PI601774,"US, Iowa",non-stiff stalk,61.24,14.48,1.65,1.27,0.96,1.32
PI601782,"US, Iowa",non-stiff stalk,63.84,12.01,2.63,1.25,1.03,1.31
